Iteration,Desity
.0238219
10,0.0419598
10,0.0638069
10,0.0899282
10,0.120277
10,0.154868
10,0.193791
10,0.237001
10,0.28445
10,0.336222
10,0.390606
10,0.425625
10,0.451428
10,0.470648
10,0.484085
10,0.492056
10,0.495001
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
10,0.495025
