Iteration,Density
.00664004
10,0.00584976
10,0.00525237
10,0.00473268
10,0.00424351
10,0.00377278
10,0.00331795
10,0.0028817
10,0.00249321
10,0.00220903
10,0.00207308
10,0.00209931
10,0.00227675
10,0.00256258
10,0.00289508
10,0.00322431
10,0.00352192
10,0.00377465
10,0.00397758
10,0.00413026
10,0.0042349
10,0.0042952
10,0.00431592
10,0.00430265
10,0.00426155
10,0.00419916
10,0.00412227
10,0.00403758
10,0.00395166
10,0.00387044
10,0.00379901
10,0.00374125
10,0.00369963
10,0.00367502
10,0.00366685
10,0.0036733
10,0.0036917
10,0.00371888
10,0.00375164
10,0.00378699
10,0.00382233
10,0.00385558
10,0.00388526
10,0.00391036
10,0.00393036
10,0.00394513
10,0.00395492
10,0.00396019
10,0.00396164
10,0.00396002
10,0.00395616
10,0.00395091
10,0.00394503
10,0.00393923
10,0.00393402
10,0.00392988
10,0.00392709
10,0.00392581
10,0.00392609
10,0.00392785
10,0.00393097
10,0.00393523
10,0.00394042
10,0.00394628
10,0.00395258
10,0.00395911
10,0.00396569
10,0.00397219
10,0.00397849
10,0.00398453
10,0.0039903
10,0.0039958
10,0.0040011
10,0.00400623
10,0.00401128
10,0.00401632
10,0.00402146
10,0.00402678
10,0.00403235
10,0.00403824
10,0.00404453
10,0.00405127
10,0.0040585
10,0.00406625
10,0.00407457
10,0.00408348
10,0.00409301
10,0.00410318
10,0.00411401
10,0.00412555
10,0.00413781
10,0.00415087
10,0.00416475
10,0.00417952
10,0.00419525
10,0.004212
10,0.00422987
10,0.00424895
10,0.00426935
10,0.00429116
10,0.0043145
10,0.00433949
10,0.00436627
10,0.00439494
10,0.00442565
10,0.00445848
10,0.0044936
10,0.0045311
10,0.00457109
10,0.00461366
10,0.00465883
10,0.00470669
10,0.00475723
10,0.00481039
10,0.00486613
10,0.0049243
10,0.00498469
10,0.0050471
10,0.0051112
10,0.00517658
10,0.00524291
10,0.00530965
10,0.00537635
10,0.00544249
10,0.00550753
10,0.00557097
10,0.0056323
10,0.00569106
10,0.00574682
10,0.00579921
10,0.00584797
10,0.00589281
10,0.00593356
10,0.00597006
10,0.00600218
10,0.00602987
10,0.006053
10,0.00607157
10,0.0060855
10,0.00609497
10,0.00610026
10,0.00610208
10,0.00610171
10,0.00610103
10,0.00610253
10,0.00610886
10,0.00612239
10,0.00614453
10,0.00617553
10,0.00621443
10,0.00625927
10,0.00630765
10,0.0063569
10,0.0064046
10,0.0064488
10,0.00648809
10,0.00652177
10,0.00654974
10,0.00657245
10,0.00659078
10,0.00660589
10,0.00661914
10,0.00663175
10,0.00664491
10,0.00665955
10,0.00667625
10,0.00669535
10,0.00671686
10,0.00674052
10,0.00676593
10,0.00679245
10,0.00681949
10,0.00684647
10,0.00687286
10,0.00689825
10,0.00692231
10,0.00694495
10,0.00696613
10,0.00698594
10,0.00700463
10,0.00702234
10,0.00703943
10,0.00705613
10,0.00707264
10,0.00708927
10,0.00710613
10,0.00712329
10,0.00714086
10,0.00715879
10,0.00717709
10,0.00719564
10,0.00721439
10,0.00723315
10,0.00725191
10,0.00727058
10,0.00728903
10,0.00730729
10,0.00732533
10,0.00734316
10,0.00736075
10,0.00737819
10,0.00739552
10,0.00741282
10,0.00743009
10,0.00744742
10,0.00746485
10,0.00748247
10,0.00750021
10,0.00751824
10,0.00753649
10,0.00755505
10,0.00757391
10,0.00759311
10,0.00761261
10,0.00763246
10,0.00765273
10,0.00767337
10,0.00769448
10,0.00771601
10,0.00773806
10,0.00776066
10,0.00778386
10,0.00780775
10,0.00783238
10,0.00785776
10,0.00788408
10,0.00791137
10,0.00793974
10,0.00796926
10,0.00800009
10,0.00803223
10,0.00806593
10,0.00810123
10,0.00813832
10,0.00817731
10,0.00821841
10,0.00826175
10,0.00830763
10,0.00835614
10,0.00840754
10,0.00846208
10,0.00852002
10,0.0085816
10,0.00864705
10,0.00871673
10,0.00879093
10,0.00886989
10,0.00895393
10,0.00904321
10,0.00913813
10,0.00923871
10,0.00934514
10,0.00945753
10,0.00957575
10,0.00969969
10,0.00982908
10,0.00996367
10,0.0101028
10,0.0102459
10,0.0103922
10,0.0105409
10,0.0106911
10,0.0108417
10,0.0109916
10,0.0111399
10,0.0112856
10,0.0114274
10,0.0115645
10,0.0116958
10,0.0118204
10,0.0119372
10,0.0120454
10,0.0121438
10,0.0122313
10,0.0123068
10,0.0123693
10,0.012418
10,0.012453
10,0.0124758
10,0.0124897
10,0.0125003
10,0.012515
10,0.0125411
10,0.0125841
10,0.0126465
10,0.0127272
10,0.0128222
10,0.0129257
10,0.0130315
10,0.0131334
10,0.0132264
10,0.0133067
10,0.013372
10,0.0134219
10,0.0134571
10,0.0134798
10,0.0134924
10,0.0134984
10,0.0135011
10,0.0135036
10,0.0135085
10,0.0135176
10,0.0135323
10,0.0135526
10,0.0135784
10,0.0136086
10,0.013642
10,0.0136771
10,0.0137126
10,0.0137472
10,0.01378
10,0.0138106
10,0.0138386
10,0.0138645
10,0.0138887
10,0.013912
10,0.0139352
10,0.0139592
10,0.0139849
10,0.0140128
10,0.0140436
10,0.0140774
10,0.0141145
10,0.0141546
10,0.0141976
10,0.0142433
10,0.0142913
10,0.0143414
10,0.0143935
10,0.0144476
10,0.0145038
10,0.0145623
10,0.0146235
10,0.0146878
10,0.0147559
10,0.0148282
10,0.0149054
10,0.014988
10,0.0150765
10,0.0151714
10,0.0152729
10,0.0153814
10,0.0154968
10,0.0156193
10,0.0157486
10,0.0158846
10,0.0160268
10,0.016175
10,0.0163285
10,0.0164864
10,0.0166483
10,0.0168128
10,0.0169794
10,0.0171465
10,0.0173131
10,0.0174781
10,0.0176397
10,0.017797
10,0.0179482
10,0.0180919
10,0.0182265
10,0.0183506
10,0.0184624
10,0.0185601
10,0.0186422
10,0.0187072
10,0.0187539
10,0.0187819
10,0.0187919
10,0.0187866
10,0.0187711
